"SMILES","CASRN","EXTERNALID","N","NAME","ARTICLEID","PUBMEDID","PAGE","TABLE","logBB","UNIT {logBB}","logBB {measured, converted}","UNIT {logBB}","Tissue","Dataset","Species","VOC","Drug_Class","DataSetName","comment (chemical)"
"NC(N)=NC1=NC(C2=CC(NC(NC)=NC#N)=CC=C2)=CS1","-","-","19","BBCPD58","A25","15781411","3021","2","-1.54","Log unit","-3.546","ln unit","","","","","","",""
"CN(CC1=CC=C(SCCNC2=C(C=CN2)N(=O)=O)O1)C","-","-","20","BBCPD17","A25","15781411","3021","2","-1.12","Log unit","-2.579","ln unit","","","","","","",""
"CN(CC1=CC=C(SCCNC2=C(C(CC3=CC=CC=C3)=CN2)N(=O)=O)O1)C","-","-","21","BBCPD60","A25","15781411","3021","2","-0.73","Log unit","-1.681","ln unit","","","","","","",""
"CN(C)CC1=CC=C(O1)C2=CC=CC(=C2)NC=3NC=CC3N(=O)=O","-","-","22","BBCPD18","A25","15781411","1","mmc1","-0.27","Log unit","-0.6217","ln unit","","Train","","","","",""
"CN(C)CC=1C=CN=C(C1)C2=CC=CC(=C2)NC=3NC=CC3N(=O)=O","-","-","23","BBCPD19","A25","15781411","1","mmc1","-0.28","Log unit","-0.6447","ln unit","","Train","","","","",""
"CC(NCCCOC1=CC=CC(CN2CCCCC2)=C1)=O","-","-","24","BBCPD20","A25","15781411","1","mmc1","-0.46","Log unit","-1.059","ln unit","","Train","","","","",""
"O=C(C1=CC=CC=C1)NCCCOC2=CC=CC(CN3CCCCC3)=C2","-","-","25","BBCPD21","A25","15781411","1","mmc1","-0.24","Log unit","-0.5526","ln unit","","Train","","","","",""
"OCCCOC1=CC=CC(CN2CCCCC2)=C1","-","-","26","BBCPD22","A25","15781411","1","mmc1","-0.02","Log unit","-0.04605","ln unit","","Train","","","","",""
"N1(CC2=CC(OCCCNC3=NC=CC=C3)=CC=C2)CCCCC1","-","-","27","BBCPD23","A25","15781411","1","mmc1","0.69","Log unit","1.589","ln unit","","Train","","","","",""
"N(C1=NC=CS1)CCCOC2=CC=CC(CN3CCCCC3)=C2","-","-","28","BBCPD24","A25","15781411","1","mmc1","0.44","Log unit","1.013","ln unit","","Train","","","","",""
"N(C=1OC2=C(N1)C=CC=C2)CCCOC3=CC=CC(CN4CCCCC4)=C3","-","-","30","BBCPD26","A25","15781411","1","mmc1","0.22","Log unit","0.5066","ln unit","","Train","","","","",""
"CC1=CSC(N=C(N)N)=N1","-","-","2","ICI17148","A25","15781411","1","mmc1","-0.04","Log unit","-0.0921","ln unit","","Train","","","","",""
"O=C(NC(CC)C1=CC=CC=C1)C2=C(C)C(C3=CC=CC=C3)=NC4=CC=CC=C42","-","-","64","SB222200","A25","15781411","2","mmc1","0.3","Log unit","0.6908","ln unit","","Train","","","","",""
"NC(=O)N1C2=CC=CC=C2C3OC3C4=CC=CC=C41","-","-","97","CBZ-EPO","A25","15781411","3023","3","-0.34","Log unit","-0.7829","ln unit","","","","","","",""
"O=C1C2=C(N3C=NC(C4=NOC(C(C)C)=N4)=C3CN1C)C=CC=C2Cl","-","-","98","L-663581","A25","15781411","3023","3","-0.3","Log unit","-0.6908","ln unit","","","","","","",""
"O=C1C2=C(N3C=NC(C4=NOC(C(C)(O)C)=N4)=C3CN1C)C=CC=C2Cl","-","-","99","M1L-663,581","A25","15781411","3023","3","-1.34","Log unit","-3.085","ln unit","","","","","","",""
"O=C1C2=C(N3C=NC(C4=NOC(C(C)(O)CO)=N4)=C3CN1C)C=CC=C2Cl","-","-","100","M2L-663581","A25","15781411","3023","3","-1.82","Log unit","-4.191","ln unit","","","","","","",""
"ClC1=CC=CC(Cl)=C1N=C2NCCN2","-","-","149","Clonidine (SKB6)","A26","2894467","659","1","0.11","Log unit","0.2533","ln unit","Blood","","","","","",""
"CN(CCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2)C","-","-","184","Imipramine (SKB8)","A26","2894467","659","1","0.83","Log unit","1.911","ln unit","Blood","","","","","",""
"S(CC=1OC(C(N)(C)C)=CC1)CCNC=2NC(=O)C(CC=3C=CC(=NC3)C)=CN2","-","-","5","Lupitidine (SKB5)","A26","2894467","666","5","-1.06","Log unit","-2.441","ln unit","Blood","","","","","",""
"COC1=CC=C(C=C1)CN(C2=CC=CC=N2)CCN(C)C","-","-","244","Pyrilamine (Mepyramine SKB7)","A26","2894467","659","1","0.49","Log unit","1.128","ln unit","Blood","","","","","",""
"BrC1=CC=CN=C1CSCCNC2=C(N(=O)=O)C=CN2","-","-","15","SKB15","A26","2894467","662","3","-0.67","Log unit","-1.543","ln unit","Blood","","","","","",""
"O=N(C1=C(NCCSCC2=NC=CC=C2)NC=C1)=O","-","-","16","SKB16","A26","2894467","662","3","-0.66","Log unit","-1.52","ln unit","Blood","","","","","",""
"O=N(C1=C(NCCSCC2=NC=CC=C2)NC=C1CC3=CC=CC=C3)=O","-","-","17","SKB17","A26","2894467","662","3","-0.12","Log unit","-0.2763","ln unit","Blood","","","","","",""
"NC(N)=NC1=NC(C2=CC=CC=C2)=CS1","-","-","19","SKB19 (guanidinen4phenylthiazol2yl)","A26","2894467","663","4","-0.18","Log unit","-0.4145","ln unit","Blood","","","","","",""
"CC1=CSC(N=C(N)N)=N1","-","-","2","SKB2 (guanidinen25methylthiazol2yl )","A26","2894467","663","4","-0.04","Log unit","-0.0921","ln unit","Blood","","","","","",""
"NC(N)=NC1=NC(C2=CC=CC(N)=C2)=CS1","-","-","20","SKB20 (guanidinen43aminophenylthiazol2yl)","A26","2894467","663","4","-1.15","Log unit","-2.648","ln unit","Blood","","","","","",""
"CC(NC1=CC=CC(C2=CSC(N=C(N)N)=N2)=C1)=O","-","-","22","SKB22","A26","2894467","663","4","-1.57","Log unit","-3.615","ln unit","Blood","","","","","",""
"CNC(NC1=CC(C2=CSC(N=C(N)N)=N2)=CC=C1)=NC#N","-","-","23","SKB23 (guanidinenmethylncyanon32nguanidylthiazol4ylphenyl )","A26","2894467","663","4","-1.54","Log unit","-3.546","ln unit","Blood","","","","","",""
"CN(CC1=CC=C(O1)CSCCNC2=C(N(=O)=O)C=CN2)C","-","-","3","SKB24 (pyrrole3nitro225dimethylaminomethylfuran2ylmethylthioethylamino)","A26","2894467","666","5","-1.12","Log unit","-2.579","ln unit","Blood","","","","","",""
"CN(CC1=CC=C(O1)CSCCNC2=C(N(=O)=O)C(CC3=CC=CC=C3)=CN2)C","-","-","4","SKB25 (ranidtidineanalog)","A26","2894467","666","5","-0.73","Log unit","-1.681","ln unit","Blood","","","","","",""
"CN(CC1=CC=C(C2=CC(NC3=C(N(=O)=O)C=CN3)=CC=C2)O1)C","-","-","5","SKB26 (pyrrole3nitro235dimethylaminomethylfuran2ylphenylamino )","A26","2894467","666","5","-0.27","Log unit","-0.6217","ln unit","Blood","","","","","",""
"CN(CC1=CC=NC(C2=CC(NC3=C(N(=O)=O)C=CN3)=CC=C2)=C1)C","-","-","28","SKB29","A26","2894467","666","5","-0.28","Log unit","-0.6447","ln unit","Blood","","","","","",""
"CC(NCCCOC1=CC(CN2CCCCC2)=CC=C1)=O","-","-","29","SKB30 (npropylacetamide33npiperidinylmethylphenoxy )","A26","2894467","666","5","-0.46","Log unit","-1.059","ln unit","Blood","","","","","",""
"O=C(C1=CC=CC=C1)NCCCOC2=CC=CC(CN3CCCCC3)=C2","-","-","30","SKB31 (benzamiden33piperidinylmethylphenoxy)","A26","2894467","666","5","-0.24","Log unit","-0.5526","ln unit","Blood","","","","","",""
"OCCCOC1=CC(CN2CCCCC2)=CC=C1","-","-","31","SKB34 (propanol33npiperidinylmethylphenoxy)","A26","2894467","666","5","-0.02","Log unit","-0.04605","ln unit","Blood","","","","","",""
"C1(NCCCOC2=CC(CN3CCCCC3)=CC=C2)=CC=CC=N1","-","-","34","SKB36 (2pyridineaminen33npiperidinylmethylphenoxypropyl)","A26","2894467","667","5","0.69","Log unit","1.589","ln unit","Blood","","","","","",""
"C1(NCCCOC2=CC=CC(CN3CCCCC3)=C2)=NC=CS1","-","-","36","SKB37","A26","2894467","667","5","0.44","Log unit","1.013","ln unit","Blood","","","","","",""
"C1(NCCCOC2=CC(CN3CCCCC3)=CC=C2)=NC4=C(O1)C=CC=C4","-","-","42","SKB42","A26","2894467","667","5","0.22","Log unit","0.5066","ln unit","Blood","","","","","",""
"CNC(NCCSCC1=CSC(N=C(N)N)=N1)=NC#N","-","-","10","Tiotidine (SKB10)","A26","2894467","663","4","-0.82","Log unit","-1.888","ln unit","Blood","","","","","",""
"N1(CC2=CC=CC(OCCCNC3=NC4=C(S3)C=CC=C4)=C2)CCCCC1","-","-","41","Zolantidine (SKB41)","A26","2894467","667","5","0.14","Log unit","0.3224","ln unit","Blood","","","","","",""
"OC1=C2OC3C(C=CC4C5CC(=C2C34CCN5C)C=C1)O","-","-","","Morphine","A28","9587953","574","","-0.4","Log unit","-0.921","ln unit","","","","","","",""
"[Rn]","-","-","-","Radon","A84","13409007","-","NO","-0.12","Log unit","-0.2763","ln unit","","","","","","",""
"CCCCC","-","-","-","Pentane","A85","10873711","-","NO","0.632422680822206","Log unit","1.456","ln unit","","","","","","",""
"CCCCCC","-","-","-","Hexane","A85","10873711","-","NO","0.68","Log unit","1.566","ln unit","","","","","","",""
"CCCCCCC","-","-","-","Heptane","A85","10873711","-","NO","0.441710842581118","Log unit","1.017","ln unit","","","","","","",""
"CCCCCCCC","-","-","-","Octane","A85","10873711","-","NO","0.688741972106953","Log unit","1.586","ln unit","","","","","","",""
"CCCCCCCCC","-","-","-","Nonane","A86","1438030","-","NO","0.52","Log unit","1.197","ln unit","","","","","","",""
"CCCCCCCCCC","-","-","-","Decane","A87","16036747","-","NO","0.665","Log unit","1.531","ln unit","","","","","","",""
"CC(C)CCC","-","-","-","2-Methylpentane (Isohexane)","A85","10873711","-","NO","0.96978359661681","Log unit","2.233","ln unit","","","","","","",""
"C(C(C)C)CCCC","-","-","","2-Methyl heptane","A88","8265521","-","NO","0.86","Log unit","1.98","ln unit","","","","","","",""
"CC(C)CCCCCC","-","-","","2-Methyl octane","A88","8265521","-","NO","0.98","Log unit","2.257","ln unit","","","","","","",""
"C(CC(C)C)CCCCC","-","-","","2-Methyl nonane","A88","8265521","-","NO","1.05","Log unit","2.418","ln unit","","","","","","",""
"CCC(C)CC","-","-","-","3-Methylpentane","A85","10873711","-","NO","1.01345267648619","Log unit","2.334","ln unit","","","","","","",""
"CCCC(C)CC","-","-","-","3-Methylhexane","A85","10873711","-","NO","0.898600171761918","Log unit","2.069","ln unit","","","","","","",""
"CCC(C)(C)C","-","-","-","2,2-Dimethylbutane","A85","10873711","-","NO","1.03715803134222","Log unit","2.388","ln unit","","","","","","",""
"C1CC1","-","-","-","Cyclopropane","A85","10873711","-","NO","0.11","Log unit","0.2533","ln unit","","","","","","",""
"CC1CCCC1","-","-","-","Methylcyclopentane","A85","10873711","-","NO","0.933322860120456","Log unit","2.149","ln unit","","","","","","",""
"C1CCCCC1","-","-","-","Cyclohexane","A85","10873711","-","NO","1.11","Log unit","2.556","ln unit","","","","","","",""
"CC1CCCCC1","-","-","-","Methylcyclohexane","A86","1438030","-","NO","0.96","Log unit","2.21","ln unit","","","","","","",""
"C1CC(C)C(C)CC1","-","-","-","1,2-Dimethylcyclohexane","A86","1438030","-","NO","1.07","Log unit","2.464","ln unit","","","","","","",""
"CC(C1CCCCC1)(C)C","-","-","-","t-Butylcyclohexane","A86","1438030","-","NO","0.61","Log unit","1.405","ln unit","","","","","","",""
"C1C(C)C(C)CC(C)C1","-","-","-","1,2,4-Trimethylcyclohexane","A86","1438030","-","NO","1.02","Log unit","2.349","ln unit","","","","","","",""
"ClCCl","-","-","-","Dichloromethane","A85","10873711","-","NO","-0.341848749616356","Log unit","-0.7871","ln unit","","","","","","",""
"ClC(Cl)Cl","-","-","-","Chloroform","A85","10873711","-","NO","0.151029995663981","Log unit","0.3478","ln unit","","","","","","",""
"ClC(Cl)C","-","-","-","1,1-dichloroethane","A89","14514437","-","NO","-0.28","Log unit","-0.6447","ln unit","","","","","","",""
"ClCCCl","-","-","-","1,2-dichloroethane","A89","14514437","-","NO","-0.14","Log unit","-0.3224","ln unit","","","","","","",""
"CC(Cl)(Cl)Cl","-","-","-","1,1,1-Trichloroethane","A85","10873711","-","NO","0.289078092376074","Log unit","0.6656","ln unit","","","","","","",""
"ClC(Cl)CCl","-","-","-","1,1,2-trichloroethane","A89","14514437","-","NO","-0.1","Log unit","-0.2303","ln unit","","","","","","",""
"ClC(Cl)(Cl)CCl","-","-","-","1,1,1,2-tetrachloroethane","A89","14514437","-","NO","0.33","Log unit","0.7599","ln unit","","","","","","",""
"ClCC(F)(F)F","-","-","-","1-Chloro-2,2,2-trifluroethane","A85","10873711","-","NO","0.115272505103306","Log unit","0.2654","ln unit","","","","","","",""
"FC(Br)C(F)(F)F","-","-","-","Teflurane","A85","10873711","-","NO","0.267274867384179","Log unit","0.6154","ln unit","","","","","","",""
"FC(F)(F)C(Cl)Br","-","-","-","Halothane","A85","10873711","-","NO","0.14208827093898","Log unit","0.3272","ln unit","","","","","","",""
"C=C","-","-","","ethylene (ethene)","A77","10814549","-","NO","0.305","Log unit","0.7023","ln unit","Blood","","","","","",""
"ClC=CCl","-","-","-","trans 1,2-dichloroethene","A89","14514437","-","NO","0.04","Log unit","0.0921","ln unit","","","","","","",""
"ClC=CCl","-","-","-","cis 1,2-dichloroethene","A89","14514437","-","NO","-0.13","Log unit","-0.2993","ln unit","","","","","","",""
"ClC(Cl)=C(Cl)Cl","-","-","-","tetrachloroethylene","A89","14514437","-","NO","0.37","Log unit","0.852","ln unit","","","","","","",""
"CCCCCCC=C","-","-","-","1-Octene","A88","8265521","-","NO","0.74","Log unit","1.704","ln unit","","","","","","",""
"CCCCCCCC=C","-","-","-","1-Nonene","A88","8265521","-","NO","0.86","Log unit","1.98","ln unit","","","","","","",""
"CCCCCCCCC=C","-","-","-","1-Decene","A88","8265521","-","NO","0.96","Log unit","2.21","ln unit","","","","","","",""
"ClC=C(Cl)Cl","-","-","-","Trichloroethene","A85","10873711","-","NO","0.105","Log unit","0.2418","ln unit","","","","","","",""
"CO","-","-","-","Methanol","A85","10873711","-","NO","0.02","Log unit","0.04605","ln unit","","","","","","",""
"CCO","-","-","-","Ethanol","A85","10873711","-","NO","-0.12407919673175","Log unit","-0.2857","ln unit","","","","","","",""
"CCCO","-","-","-","1-Propanol","A85","10873711","-","NO","-0.0818200846626258","Log unit","-0.1884","ln unit","","","","","","",""
"CCCCO","-","-","-","1-Butanol","A85","10873711","-","NO","-0.0230951486635274","Log unit","-0.05318","ln unit","","","","","","",""
"CCCCCO","-","-","-","1-Pentanol","A85","10873711","-","NO","0.20342375548695","Log unit","0.4684","ln unit","","","","","","",""
"CC(C)O","-","-","-","2-Propanol (Isopropanol)","A85","10873711","-","NO","-0.11346077825829","Log unit","-0.2613","ln unit","","","","","","",""
"CC(C)CO","-","-","-","2-Methyl-1-propanol (Isobutanol)","A85","10873711","-","NO","-0.14","Log unit","-0.3224","ln unit","","","","","","",""
"CC(C)CCO","-","-","","3-Methyl-1-butanol (Isopentanol)","A85","10873711","-","NO","0.0381683711411678","Log unit","0.08789","ln unit","","","","","","",""
"CCOCC","-","-","-","Diethyl ether","A85","10873711","-","NO","-0.01","Log unit","-0.02303","ln unit","","","","","","",""
"COC(F)(F)C(Cl)Cl","-","-","-","Methoxyflurane","A85","10873711","-","NO","0.118694913169365","Log unit","0.2733","ln unit","","","","","","",""
"FC(F)OC(Cl)C(F)(F)F","-","-","-","Isoflurane","A85","10873711","-","NO","0.19","Log unit","0.4375","ln unit","","","","","","",""
"FC(F)OC(F)(F)C(F)Cl","-","-","-","Enflurane","A85","10873711","-","NO","0.14","Log unit","0.3224","ln unit","","","","","","",""
"FCOC(C(F)(F)F)C(F)(F)F","-","-","-","sevoflurane","A85","10873711","-","NO","0.3","Log unit","0.6908","ln unit","","","","","","",""
"C1CO1","-","-","-","Ethylene Oxide","A90","1502695","-","NO","0.01","Log unit","0.02303","ln unit","","","","","","",""
"FC(F)(F)COC=C","-","-","-","Fluroxene","A85","10873711","-","NO","0.14","Log unit","0.3224","ln unit","","","","","","",""
"C=COC=C","-","-","-","Divinyl ether (vinyl ether)","A85","10873711","-","NO","0.13","Log unit","0.2993","ln unit","","","","","","",""
"CC(C)=O","-","-","-","Acetone","A85","10873711","-","NO","-0.17","Log unit","-0.3914","ln unit","","","","","","",""
"CC(=O)CC","-","-","-","2-Butanone (Methyl ethyl ketone)","A85","10873711","-","NO","-0.17","Log unit","-0.3914","ln unit","","","","","","",""
"CCCC(C)=O","-","-","-","2-pentanone","A85","10873711","-","NO","-0.01","Log unit","-0.02303","ln unit","","","","","","",""
"COC(C)=O","-","-","-","Methyl acetate","A85","10873711","-","NO","-0.134281982033341","Log unit","-0.3092","ln unit","","","","","","",""
"CCOC(C)=O","-","-","-","Ethyl acetate","A85","10873711","-","NO","0.00308998699194363","Log unit","0.007115","ln unit","","","","","","",""
"C(C)(=O)OCCC","-","-","-","Propyl acetate","A85","10873711","-","NO","0.119565488225982","Log unit","0.2753","ln unit","","","","","","",""
"CCCCOC(C)=O","-","-","-","Butyl acetate","A85","10873711","-","NO","0.277483944213906","Log unit","0.6389","ln unit","","","","","","",""
"C(C)(=O)OCCCCC","-","-","-","Pentyl acetate","A85","10873711","-","NO","0.400211241711606","Log unit","0.9215","ln unit","","","","","","",""
"CC(C)OC(C)=O","-","-","-","Isopropyl acetate","A85","10873711","-","NO","0.398901760970214","Log unit","0.9185","ln unit","","","","","","",""
"CC(C)COC(=O)C","-","-","-","Isobutyl acetate","A85","10873711","-","NO","0.449879086401237","Log unit","1.036","ln unit","","","","","","",""
"CC(OCCC(C)C)=O","-","-","","Isopentylacetate","A85","10873711","-","NO","0.554392273685111","Log unit","1.277","ln unit","","","","","","",""
"C1=CC=CC=C1","-","-","-","Benzene","A85","10873711","-","NO","0.197636252551653","Log unit","0.4551","ln unit","","","","","","",""
"C1(=C(C(=C(C(=C1[H])[H])[H])[H])[H])C([H])([H])[H]","-","-","-","Toluene","A85","10873711","-","NO","0.270550691824528","Log unit","0.623","ln unit","","","","","","",""
"CC1=CC=CC=C1C","-","-","-","o-Xylene","A89","14514437","-","NO","0.41","Log unit","0.9441","ln unit","","","","","","",""
"CC1=CC(C)=CC=C1","-","-","","m-xylene","A89","14514437","-","NO","0.22","Log unit","0.5066","ln unit","","","","","","",""
"CC1=CC=C(C=C1)C","-","-","-","p-xylene","A89","14514437","-","NO","0.38","Log unit","0.875","ln unit","","","","","","",""
"CCC1=CC=CC=C1","-","-","-","ethylbenzene","A89","14514437","-","NO","0.26","Log unit","0.5987","ln unit","","","","","","",""
"C=CC1=CC=CC=C1","-","-","-","styrene","A89","14514437","-","NO","0.45","Log unit","1.036","ln unit","","","","","","",""
"CC(C1=CC=CC=C1)(C)C","-","-","-","t-Butylbenzene","A86","1438030","-","NO","0.43","Log unit","0.9901","ln unit","","","","","","",""
"CC1=CC(C)=C(C)C=C1","-","-","","1,2,4-Trimethylbenzene (Pseudocumene)","A86","1438030","-","NO","0.16","Log unit","0.3684","ln unit","","","","","","",""
"OCC#C","-","-","-","propargyl alcohol","A91","11513248","-","NO","-0.23","Log unit","-0.5296","ln unit","","","","","","",""
"C=CC#N","-","-","-","acrylonitrile","A92","8079360","-","NO","-0.4","Log unit","-0.921","ln unit","","","","","","",""
"FC1=C(C(=C(N2N(C(=C(C2=O)[H])C([H])([H])[H])C([H])([H])[H])C(=C1[H])[H])[H])[H]","-","-","","4-Fluoroantipyrine","A94","6609931","-","NO","-0.05","Log unit","-0.1151","ln unit","","","","","","",""
"CC1=C(C(N(N1C)C2=CC=CC=C2)=O)I","-","-","","4-IODOANTIPYRINE","A94","6609931","-","NO","-0.1","Log unit","-0.2303","ln unit","","","","","","",""
"CC1N(C2=C(C)C(C)=NC(NC3=CC=C(C=C3)F)=N2)CCC4=CC=CC=C14","-","-","-","AI-9 (YH1885)","A95","9840211","-","NO","0.6749","Log unit","1.554","ln unit","","","","","","",""
"O=C1N(C(C(=O)N(C21C(C(C(C2([H])[H])([H])[H])([H])[H])([H])[H])[H])(C([H])([H])[H])[H])[H]","-","-","","alaptide","A96","1687590","-","NO","-0.26","Log unit","-0.5987","ln unit","","","","","","",""
"FC1CC(OC1CO)N2C=C(C(=O)NC2=O)C","-","-","","Alovudine","A97","8483107","-","NO","-0.59","Log unit","-1.359","ln unit","","","","","","",""
"CC1=NN=C2CN=C(C3=CC(Cl)=CC=C3N12)C4=CC=CC=C4","-","-","16","Alprazolam","A98","8953490","-","1","0.044","Log unit","0.1013","ln unit","","","","","","",""
"CC1=NN=C2CN=C(C3=CC(Cl)=CC=C3N12)C4=CC=CC=C4","-","-","-","Alprazolam","A99","2888155","-","NO","-0.04","Log unit","-0.0921","ln unit","Serum","","rat","","","",""
"CN(C1=C(N(N(C1=O)C2=CC=CC=C2)C)C)C","-","-","-","Aminopyrine OK","A100","6146738","-","NO","0.0","Log unit","0.0","ln unit","","","","","","",""
"CCC1(C(NC(NC1=O)=O)=O)CCC(C)C","-","-","-","Amobarbital (5-Ethyl-5-(3-methylbutyl)barbital)","A101","6702466","-","NO","0.04","Log unit","0.0921","ln unit","Plasma","","","","","",""
"CCN1CN(C2=CC=C(Br)C=C2)C3(C1=O)CCN(CC3)CCCC(C4=CC=C(C=C4)F)=O","-","-","-","BESP","A102","3833821","-","NO","-0.43","Log unit","-0.9901","ln unit","Blood","","","","","",""
"CNCCC1=NC=CC=C1","-","-","-","betahistine (Y-G 14)","A103","8872456","-","NO","-0.3","Log unit","-0.6908","ln unit","","","","","","",""
"OC(C1=CC=CC=C1)(C2C3CC(C=C3)C2)CCN4CCCCC4","-","-","-","Biperiden","A104","12356278","1240","2","0.845098040014256","Log unit","1.946","ln unit","Plasma","","","","","",""
"CC(C1=CC=C(O)C=C1)(C2=CC=C(C=C2)O)C","-","-","-","bisphenol A","A105","11032426","-","NO","-0.12","Log unit","-0.2763","ln unit","","","","","","",""
"BrC1=CC=C(N2C3(C(N(C)C2)=O)CCN(CC3)CCCC(C4=CC=C(F)C=C4)=O)C=C1","-","-","-","BMSP","A102","3833821","-","NO","-0.55","Log unit","-1.266","ln unit","Blood","","","","","",""
"CCCN1CN(C2=CC=C(Br)C=C2)C3(C1=O)CCN(CC3)CCCC(C4=CC=C(C=C4)F)=O","-","-","-","BPSP","A102","3833821","-","NO","-0.01","Log unit","-0.02303","ln unit","Blood","","","","","",""
"BrC1=CC=C(N2C3(C(NC2)=O)CCN(CC3)CCCC(C4=CC=C(C=C4)F)=O)C=C1","-","-","-","BSP","A102","3833821","-","NO","0.07","Log unit","0.1612","ln unit","Blood","","","","","",""
"CN1C=NC=2N(C(N(C)C(C21)=O)=O)C","-","-","4","Caffeine (1,3,7-Trimethylxanthine)","A98","8953490","-","1","-0.055","Log unit","-0.1266","ln unit","","","","","","",""
